Gene,log2FC,pvalue,FDR
Asip,3.021340382,7.71E-07,1.49E-06
A2m,-1.404734493,0.012713388,0.018273873
Acaa1a,-1.14859701,5.31E-34,2.36E-33
Acadm,-0.745489173,9.66E-11,2.22E-10
Acly,-1.067092277,3.81E-33,1.66E-32
Acp1,1.678819701,9.07E-123,1.70E-121
Acp2,-0.522090969,4.16E-10,9.30E-10
Acr,-2.766656664,4.71E-22,1.55E-21
Adcyap1r1,-2.885646797,3.55E-129,7.16E-128
Add1,0.780334968,3.22E-39,1.61E-38
Add2,9.810392271,0,0
Adh1,-1.405788543,0.002091898,0.003232358
Adra1b,-2.031961861,1.12E-06,2.15E-06
Adra2b,-3.875332876,4.95E-32,2.10E-31
Adra2c,-4.091561476,1.71E-22,5.69E-22
Adrb2,0.299827427,0.000696645,0.001119171
Afp,-3.18153034,1.68E-22,5.59E-22
Agt,-4.883839954,1.17E-110,1.89E-109
Agtr1a,-4.528562345,2.25E-59,1.68E-58
Agtr2,-3.60348234,3.55E-06,6.62E-06
Ak2,-0.718694348,1.11E-20,3.51E-20
Akt1,0.3405996,2.66E-21,8.56E-21
Alb,-1.65922153,0.000633137,0.00102039
Aldoc,1.25152255,8.59E-07,1.66E-06
Akr1b1,-1.875425214,2.27E-65,1.89E-64
Apc,-0.641157457,6.40E-15,1.71E-14
Apeh,1.400934596,1.10E-91,1.37E-90
Ar,-3.397426345,3.04E-75,2.99E-74
Atp1a1,0.191297373,0.029643868,0.041007397
Atp1a2,-2.362046497,1.79E-14,4.73E-14
Atp1a3,1.030026297,0.00022983,0.00038209
Atp1b2,2.341872787,3.19E-45,1.82E-44
Atp2b2,-2.745667684,1.86E-14,4.90E-14
Atp4a,0.678976823,0.049942309,0.067278051
Atp7b,2.22470119,1.48E-87,1.72E-86
Avp,-2.099516758,1.93E-08,4.03E-08
B2m,-0.4543342,5.28E-10,1.18E-09
Bcl2,-1.085160272,2.88E-18,8.57E-18
Bdnf,2.53978546,3.35E-10,7.52E-10
Tspo,-0.671906019,8.75E-11,2.01E-10
C2,-1.764290096,1.48E-48,9.04E-48
C3,1.172209978,0.000711146,0.00114191
C4a,-4.06043966,4.62E-73,4.37E-72
C6,-2.388122814,3.63E-68,3.15E-67
Cacna1c,-3.435881528,1.39E-41,7.33E-41
Cad,-0.705286453,2.95E-30,1.19E-29
Calca,-4.564190229,1.44E-31,6.02E-31
Calm1,-0.41568511,3.06E-09,6.61E-09
Camk2b,-0.635844209,0.035727154,0.048989669
Camk2d,-0.361847242,2.71E-05,4.81E-05
Casr,4.728172959,1.96E-20,6.17E-20
Cat,-0.537036751,2.22E-06,4.18E-06
S100g,-2.566500696,0.000329322,0.00054153
Cbs,-1.378436696,0.000363921,0.000596632
Cd53,1.989504284,1.06E-36,5.00E-36
Cebpa,-2.41369707,1.33E-163,3.79E-162
Cebpb,-0.701489721,3.26E-11,7.63E-11
Cel,-0.991416693,2.65E-06,4.97E-06
Cftr,-2.55558909,2.04E-05,3.64E-05
Chga,3.499805151,0.000896527,0.001428494
Chgb,2.062677752,0.000692408,0.001112667
Ckm,4.093995887,1.25E-07,2.51E-07
Comt,0.655852543,1.22E-17,3.56E-17
Cpa1,-4.282308584,3.31E-27,1.25E-26
Crygd,3.922816309,2.26E-32,9.65E-32
Csn1s1,2.741506555,0.000185011,0.000309824
Cyp1a1,-2.423531976,1.92E-09,4.18E-09
Cyp21a1,-3.769999752,2.01E-60,1.54E-59
