Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__mitotic sister chromatid segregation (GO:0000070),0.6810815704188368,2.7630285191314323,0.0,0.0,0.0,38/93,13.89%,Sgo1;Kif14;Kif18b;Ccnb1;Ncapg;Espl1;Cdk1;Kif2c;Sgo2;Knstrn;Spag5;Plk1;Nusap1;Kifc1;Kif22;Ncaph;Kif23;Kif18a;Cdca5;Ndc80;Cenpe;Cenpk;Prc1;Cdca8;Ncapd2;Dsn1;Ttn;Nsl1;Smc2;Spdl1;Ncapg2;Dlgap5;Rec8;Cep55;Psrc1;Smc4;Haspin;Ncapd3
prerank,GO_Biological_Process_2021__microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.6720406554569742,2.686460509957963,0.0,0.0,0.0,54/120,13.21%,Sgo1;Cenpf;Ska1;Spc25;Kif4a;Cenph;Cenpt;Ccnb1;Bub1b;Espl1;Kif2c;Ttk;Nuf2;Sgo2;Kif11;Cenpi;Plk1;Nusap1;Birc5;Spc24;Aurkb;Kif18a;Ercc6l;Ndc80;Cenpq;Stil;Knl1;Cenpa;Incenp;Aurka;Cenpm;Cenpe;Cenpk;Cdca8;Bub1;Cdc20;Cenpu;Stmn1;Kntc1;Dsn1;Tacc3;Nsl1;Cenpl;Cenpp;Cenpn;Mad2l1;Spdl1;Pmf1;Dlgap5;Cenpo;Gpsm2;Cenps;Zwilch;Rcc1
prerank,Reactome_2022__Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.6729572576523274,2.6500086068280266,0.0,0.0,0.0,40/101,9.43%,Ccnb2;Sgo1;Cenpf;Ska1;Spc25;Cenph;Cenpt;Ccnb1;Bub1b;Cdk1;Kif2c;Nuf2;Sgo2;Cenpi;Plk1;Birc5;Spc24;Aurkb;Kif18a;Cdca5;Ercc6l;Ndc80;Cenpq;Knl1;Cenpa;Incenp;Cenpm;Cenpe;Cenpk;Cdca8;Bub1;Cdc20;Cenpu;Kntc1;Dsn1;Cenpl;Cenpp;Cenpn;Mad2l1;Spdl1
prerank,GO_Biological_Process_2021__centromere complex assembly (GO:0034508),0.7760500001447146,2.6471623258329355,0.0,0.0,0.0,24/36,12.33%,Cenpw;Cenpf;Mis18a;Cenph;Oip5;Cenpt;Cenpi;Cenpq;Knl1;Cenpa;Cenpm;Cenpe;Cenpk;Cenpu;Hells;Hjurp;Cenpl;Cenpp;Cenpn;Mis18bp1;Dlgap5;Cenpo;Cenps;Nasp
prerank,Reactome_2022__Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.6853099195156573,2.6158357149751934,0.0,0.0,0.0,36/88,9.43%,Sgo1;Cenpf;Ska1;Spc25;Cenph;Cenpt;Bub1b;Kif2c;Nuf2;Sgo2;Cenpi;Plk1;Birc5;Spc24;Aurkb;Kif18a;Ercc6l;Ndc80;Cenpq;Knl1;Cenpa;Incenp;Cenpm;Cenpe;Cenpk;Cdca8;Bub1;Cdc20;Cenpu;Kntc1;Dsn1;Cenpl;Cenpp;Cenpn;Mad2l1;Spdl1
prerank,Reactome_2022__EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,0.6742892209341003,2.603437845571046,0.0,0.0,0.0,36/92,9.43%,Sgo1;Cenpf;Ska1;Spc25;Cenph;Cenpt;Bub1b;Kif2c;Nuf2;Sgo2;Cenpi;Plk1;Birc5;Spc24;Aurkb;Kif18a;Ercc6l;Ndc80;Cenpq;Knl1;Cenpa;Incenp;Cenpm;Cenpe;Cenpk;Cdca8;Bub1;Cdc20;Cenpu;Kntc1;Dsn1;Cenpl;Cenpp;Cenpn;Mad2l1;Spdl1
prerank,Reactome_2022__Cell Cycle Checkpoints R-HSA-69620,0.5887944036286404,2.5857973360708497,0.0,0.0,0.0,86/233,18.40%,H2bc12;Ccnb2;Ube2c;Cdc6;Sgo1;Cenpf;Ska1;Spc25;Ccna2;Cenph;Cenpt;Exo1;Ccnb1;Bub1b;Cdk1;Kif2c;Nuf2;Sgo2;Cenpi;Plk1;Clspn;Ccne1;Birc5;Bard1;Spc24;Aurkb;Kif18a;Ercc6l;Ndc80;Cenpq;Mcm5;Rmi2;Knl1;Cenpa;Dbf4;Incenp;Brca1;Cenpm;Cenpe;Cenpk;H2bc9;Cdca8;Cdc45;Gtse1;Bub1;Cdc20;Cenpu;Kntc1;Mcm6;Mcm3;Blm;Dsn1;Cenpl;Cenpp;Cenpn;Mad2l1;Rfc4;Spdl1;H2ax;Mcm4;Orc6;Cenpo;Rfc3;Mcm7;Pkmyt1;Mcm10;Zwilch;Ccne2;Ube2s;Brip1;Chek2;Rpa3;Rfc2;Cdc7;Mdc1;Rcc2;Rfc5;Cdc25a;Nsd2;Itgb3bp;Ska2;Psmf1;Rangap1;Bub3;Topbp1;Chek1
prerank,GO_Biological_Process_2021__embryonic skeletal system development (GO:0048706),-0.7296786646091115,-2.5815336718389736,0.0,0.0,0.0,25/34,18.23%,Hoxd3;Hoxd4;Alx1;Osr1;Hoxd9;Slc2a10;Sulf2;Pcsk5;Rbp4;Wnt5a;Osr2;Hoxc4;Hoxb3;Nog;Col1a1;Hoxc9;Pdgfra;Sulf1;Sox11;Ucma;Hoxb4;Hoxa4;Wnt11;Dscaml1;Hoxa3
prerank,GO_Biological_Process_2021__mitotic spindle organization (GO:0007052),0.621565647847872,2.5738837482571375,0.0,0.0,0.0,55/146,13.21%,Sgo1;Cenpf;Ska1;Spc25;Kif4a;Cenph;Cenpt;Ccnb1;Bub1b;Kif2c;Ttk;Nuf2;Sgo2;Kif11;Cenpi;Plk1;Kifc1;Tpx2;Birc5;Kif23;Spc24;Aurkb;Kif18a;Ercc6l;Ndc80;Cenpq;Stil;Knl1;Cenpa;Incenp;Aurka;Cenpm;Cenpe;Cenpk;Prc1;Cdca8;Bub1;Cdc20;Cenpu;Stmn1;Kntc1;Dsn1;Nsl1;Cenpl;Cenpp;Cenpn;Mad2l1;Spdl1;Pmf1;Dlgap5;Cenpo;Gpsm2;Cenps;Zwilch;Rcc1
prerank,Reactome_2022__Mitotic Spindle Checkpoint R-HSA-69618,0.661162679618199,2.5680959585859098,0.0,0.0,0.0,37/103,9.43%,Ube2c;Sgo1;Cenpf;Ska1;Spc25;Cenph;Cenpt;Bub1b;Kif2c;Nuf2;Sgo2;Cenpi;Plk1;Birc5;Spc24;Aurkb;Kif18a;Ercc6l;Ndc80;Cenpq;Knl1;Cenpa;Incenp;Cenpm;Cenpe;Cenpk;Cdca8;Bub1;Cdc20;Cenpu;Kntc1;Dsn1;Cenpl;Cenpp;Cenpn;Mad2l1;Spdl1
